10,6.96,0.932,0.207,0.428,108.241,0.07,0.072,0.459,5.881
20,1.257,4.227,0.14,0.23,93.632,0.048,0.069,4.459,100
30,1.614,1.424,0.51,0.205,328.582,0.047,0.046,15.46,100
40,1.631,1.582,0.078,0.043,166.714,0.05,0.043,2.662,0.173
50,0.391,0.329,0.095,0.016,418.657,0.056,0.032,0.278,0.109
60,3.81,2.378,0.468,0.11,2284.391,0.052,0.057,5.347,100
70,2.623,3.058,0.689,0.084,1259.725,0.047,0.064,5.347,100
80,0.071,0.368,0.027,0.031,460.762,0.041,0.024,1.933,0.108
90,5.248,0.532,0.996,0.269,1225.169,0.094,0.069,5.089,100
100,4.216,3.345,0.176,0.153,1594.213,0.046,0.032,3.568,0.195
110,2.613,0.85,0.044,0.185,563.708,0.051,0.085,4.098,0.487
120,5.989,5.591,0.485,0.16,1377.522,0.119,0.067,3.704,0.092
130,2.935,5.244,0.145,0.222,784.18,0.047,0.088,15.686,0.295
140,2.301,0.761,0.05,0.032,501.207,0.029,0.046,0.225,0.136
150,5.547,3.662,0.187,0.187,1297.094,0.105,0.137,5.778,100
160,2.614,2.497,0.052,0.128,707.314,0.062,0.048,0.073,0.328
170,6.494,3.229,4.26,0.182,100,0.056,0.037,4.448,0.755
180,1.467,0.698,0.052,0.027,187.408,0.05,0.053,0.66,0.116
190,5.659,0.449,2.361,0.134,780.026,0.045,0.044,2.551,2.164
200,1.542,0.139,0.08,0.045,255.047,0.046,0.049,1.119,0.241
210,0.128,0.921,0.516,0.063,283.241,0.118,0.036,0.206,1.118
220,11.499,0.445,0.102,0.026,96.602,0.05,0.042,0.392,0.104
230,5.654,1.69,0.169,0.234,1036.527,0.136,0.094,3.224,0.393
240,0.133,0.826,0.085,0.027,158.314,0.042,0.071,0.842,0.123
250,358.557,1.353,6.536,0.157,775.753,0.143,0.049,1.346,1.333
260,100,2.92,6.392,0.116,123.629,0.035,0.037,4.72,100
270,0.469,2.346,0.07,17.25,510.14,0.06,0.043,2.856,0.327
280,0.086,0.791,0.282,0.045,173.843,0.044,0.062,0.497,0.097
290,0.266,1.025,0.144,0.134,469.257,0.052,0.087,6.082,0.346
300,0.776,1.45,0.064,0.035,86.801,0.061,0.049,0.695,0.121
